ward,year,streets,lighting,parks,schools,cameras,misc,arts,trees,other,libraries
25,2016,848538.99,344450,100000,0,27011,0,0,0,0,0
25,2017,945073.58,336750,0,0,27011,0,10000,0,634,0
25,2018,988160.66,230000,0,0,81033,0,0,0,0,0
26,2012,417652,729750,150000,0,22500,0,0,0,0,0
26,2013,1297347,0,0,0,22500,0,0,0,0,0
26,2014,1031946,288000,0,0,0,0,0,0,0,0
26,2015,1151599,168400,0,0,0,0,0,0,0,0
26,2016,1265527.99,450,0,0,54022,0,0,0,0,0
26,2017,1264071.92,300,0,0,0,0,30000,0,25628,0
26,2018,1049999.99,270000,0,0,0,0,0,0,0,0
27,2012,753380,565824,0,0,0,0,0,0,0,0
27,2013,946811,349912,0,0,22500,0,0,0,0,0
27,2014,998182,296500,0,0,22500,0,0,0,0,0
27,2015,1083604,236400,0,0,0,0,0,0,0,0
27,2016,1150204.68,169795.31,0,0,0,0,0,0,0,0
27,2017,888944.99,286000,0,0,135055,0,10000,0,0,0
27,2018,341872.69,866813.3,0,0,109844,0,0,1470,0,0
28,2012,1280696,30200,0,0,9000,0,0,0,0,0
28,2013,797701,18701,500000,0,3600,0,0,0,0,0
28,2014,797116,267485,250000,0,5400,0,0,0,0,0
28,2015,686699,373855,250000,9400,0,0,0,0,0,0
28,2016,891916.93,428083.06,0,0,0,0,0,0,0,0
28,2017,747124.08,562875.91,0,0,0,0,10000,0,0,0
28,2018,944943.52,331605.91,0,0,16200,0,0,0,0,0
29,2012,870296,448350,0,0,0,0,0,0,0,0
29,2013,1088001,216000,0,0,0,0,0,0,0,0
29,2014,716616,602700,0,0,0,0,0,0,0,0
29,2015,1320002,0,0,0,0,0,0,0,0,0
29,2016,934999.99,0,50000,0,0,0,60000,90087.94,184912.06,0
29,2017,1205955.09,50036,0,0,0,0,64008.9,0,0,0
29,2018,1199549.98,41923,55700,0,0,0,20000,0,0,0
30,2012,1289598,7800,0,0,22500,0,0,0,0,0
30,2013,1226599,89400,0,0,0,0,0,0,0,0
30,2014,1177814,141800,0,0,0,0,0,0,0,0
30,2015,1318798,1200,0,0,0,0,0,0,0,0
30,2016,1121682.99,198317,0,0,0,0,0,0,0,0
30,2017,1053366.99,256633,0,0,0,0,10000,0,0,0
30,2018,1247988.99,0,45000,0,27011,0,0,0,0,0
31,2012,1065648,237100,0,0,17250,0,0,0,0,0
31,2013,1244751,75200,0,0,0,0,0,0,0,0
31,2014,1015310,303250,0,0,0,0,0,0,0,0
31,2015,851601,468400,0,0,0,0,0,0,0,0
31,2016,673030.21,546969,100000,0,0,0,0,0,0,0
31,2017,795868.99,414131,100000,0,0,0,10000,0,0,0
31,2018,1306273.97,0,0,0,13505.5,0,0,0,0,0
32,2012,1319494,0,0,0,0,0,0,0,0,0
32,2013,1319997,0,0,0,0,0,0,0,0,0
32,2014,1149499,14600,150000,0,0,0,0,0,0,0
32,2015,1169999,0,150000,0,0,0,0,0,0,0
32,2016,1242755.99,1200,68799,0,0,0,0,0,0,0
32,2017,1292474.99,17525,0,0,0,0,10000,0,0,0
32,2018,1202568.66,88000,0,0,0,0,0,0,0,0
33,2012,308563,1011350,0,0,0,0,0,0,0,0
33,2013,765859,432400,0,121740,0,0,0,0,0,0
33,2014,1008595,288000,13404,0,0,10000,0,0,0,0
33,2015,733703,486300,25000,25000,0,0,0,0,0,0
33,2016,593454.99,637000,33500,40000,1800,0,7000,0,0,0
33,2017,698906.76,488280,0,74802.23,27011,0,15000,0,16000,0
33,2018,918264.99,380000,0,0,0,0,0,0,0,0
34,2012,861309,436155,0,0,22500,0,0,0,0,0
34,2013,1070298,249700,0,0,0,0,0,0,0,0
34,2014,1314321,4350,0,0,0,0,0,0,0,0
34,2015,665201,654800,0,0,0,0,0,0,0,0
34,2016,982999.99,337000,0,0,0,0,0,0,0,0
34,2017,866249.99,453750,0,0,0,0,0,0,0,0
34,2018,1135199.99,184800,0,0,0,0,0,0,0,0
35,2012,590751,729000,0,0,0,0,0,0,0,0
35,2013,772274,547726,0,0,0,0,0,0,0,0
35,2014,723243,592950,0,0,0,0,0,0,0,0
35,2015,731725,587450,0,0,0,0,0,0,0,0
35,2016,438916.99,441550,188000,120500,117033,0,0,14000,0,0
35,2017,795692.99,514307,0,0,0,0,10000,0,0,0
35,2018,1171988.99,121000,0,0,27011,0,0,0,0,0
36,2012,1234699,0,85301,0,0,0,0,0,0,0
36,2013,1009725,0,275000,0,0,0,0,0,0,0
36,2014,1319999,0,0,0,0,0,0,0,0,0
36,2015,1311098,0,0,8900,0,0,0,0,0,0
36,2016,1134999.99,0,160000,25000,0,0,0,0,0,0
36,2017,819799.99,48500,135000,300000,0,0,16700,0,0,0
36,2018,1242449.49,9045,0,0,13505.5,0,0,0,0,55000
37,2012,708433,611450,0,0,0,0,0,0,0,0
37,2013,476999,843000,0,0,0,0,0,0,0,0
37,2014,803755,516245,0,0,0,0,0,0,0,0
37,2015,575797,744205,0,0,0,0,0,0,0,0
37,2016,644999.99,675000,0,0,0,0,0,0,0,0
37,2017,1091963.99,218036,0,0,0,0,10000,0,0,0
37,2018,1301893.3,0,0,0,0,0,0,0,0,0
38,2012,1316999,3000,0,0,0,0,0,0,0,0
38,2013,1261991,7450,0,50000,0,0,0,0,0,0
38,2014,1318757,1240,0,0,0,0,0,0,0,0
38,2015,1297991,1360,0,20650,0,0,0,0,0,0
38,2016,1319999.99,0,0,0,0,0,0,0,0,0
38,2017,1309999.99,0,0,0,0,0,10000,0,0,0
38,2018,1319999.99,0,0,0,0,0,0,0,0,0
39,2012,935999,384000,0,0,0,0,0,0,0,0
39,2013,1286294,31571,0,0,1800,0,0,0,0,0
39,2014,1289901,0,0,0,22500,0,0,0,0,0
39,2015,1266250,12500,0,0,27011,0,0,0,0,0
